step,epoch,step_time_sec,cumulative_reward_eval_count,reward,grad_norm,estimator,loss,reward_type,num_samples
1,0.5,0.05712485313415527,1,4.130929753571458,0.13127402199268845,plrank,pairwise,existing,2
2,1.0,0.004414081573486328,2,3.5,0.11498996234218263,plrank,pairwise,existing,2
3,1.5,0.00431370735168457,3,2.8927892607143724,0.11499209478351696,plrank,pairwise,existing,2
4,2.0,0.0043718814849853516,4,4.130929753571458,0.131282307008926,plrank,pairwise,existing,2
5,2.5,0.004431962966918945,5,3.5,0.11499683493327079,plrank,pairwise,existing,2
6,3.0,0.004038810729980469,6,7.5,0.13128814000196415,plrank,pairwise,existing,2
7,3.5,0.0047647953033447266,7,5.4165082750002025,0.13129150663793976,plrank,pairwise,existing,2
8,4.0,0.0039827823638916016,8,2.3927892607143724,0.11500419756994405,plrank,pairwise,existing,2
9,4.5,0.0037381649017333984,9,3.6309297535714578,0.11500634377569519,plrank,pairwise,existing,2
10,5.0,0.004134178161621094,10,4.5,0.13129983774958023,plrank,pairwise,existing,2
11,5.5,0.003985166549682617,11,2.8927892607143724,0.11501111242734809,plrank,pairwise,existing,2
12,6.0,0.004416942596435547,12,7.630929753571458,0.13130570249683143,plrank,pairwise,existing,2
13,6.5,0.003690004348754883,13,7.630929753571458,0.13130908654405443,plrank,pairwise,existing,2
14,7.0,0.004396200180053711,14,2.1309297535714578,0.11501851830573492,plrank,pairwise,existing,2
15,7.5,0.004405021667480469,15,3.5,0.11502067827804328,plrank,pairwise,existing,2
16,8.0,0.004887819290161133,16,5.4165082750002025,0.13131746375667477,plrank,pairwise,existing,2
17,8.5,0.0038840770721435547,17,4.130929753571458,0.13132085941250804,plrank,pairwise,existing,2
18,9.0,0.004561901092529297,18,3.6309297535714578,0.11502811298798023,plrank,pairwise,existing,2
19,9.5,0.00407719612121582,19,4.130929753571458,0.13132676173059768,plrank,pairwise,existing,2
20,10.0,0.004284858703613281,20,2.5,0.1150329246049591,plrank,pairwise,existing,2
