step,epoch,step_time_sec,cumulative_reward_eval_count,reward,grad_norm,estimator,loss,reward_type,num_samples
1,0.5,0.07084012031555176,6,4.9165082750002025,0.2535997084278608,reinforce,policygradient,existing,5
2,1.0,0.007361888885498047,12,2.1309297535714578,0.3536518267815922,reinforce,policygradient,existing,5
3,1.5,0.0070459842681884766,18,4.5,0.8465632490389756,reinforce,policygradient,existing,5
4,2.0,0.008058309555053711,24,3.5,0.23279633619734705,reinforce,policygradient,existing,5
5,2.5,0.006824016571044922,30,5.4165082750002025,0.08761537533032909,reinforce,policygradient,existing,5
6,3.0,0.007045269012451172,36,2.8927892607143724,0.17792466671232887,reinforce,policygradient,existing,5
7,3.5,0.00608515739440918,42,7.630929753571458,0.11943675168711258,reinforce,policygradient,existing,5
8,4.0,0.0059452056884765625,48,2.8927892607143724,0.4119058674222428,reinforce,policygradient,existing,5
9,4.5,0.007071018218994141,54,5.4165082750002025,0.33817569765682465,reinforce,policygradient,existing,5
10,5.0,0.006367921829223633,60,3.6309297535714578,0.20426937132240702,reinforce,policygradient,existing,5
11,5.5,0.0069580078125,66,7.5,1.2815336492176361,reinforce,policygradient,existing,5
12,6.0,0.007094144821166992,72,3.5,0.02588958730850043,reinforce,policygradient,existing,5
13,6.5,0.006580829620361328,78,4.9165082750002025,0.1567730264800476,reinforce,policygradient,existing,5
14,7.0,0.0067291259765625,84,2.8927892607143724,0.18935176413246962,reinforce,policygradient,existing,5
15,7.5,0.006746053695678711,90,2.8927892607143724,0.2971664493487444,reinforce,policygradient,existing,5
16,8.0,0.006463289260864258,96,4.9165082750002025,0.38204477743117454,reinforce,policygradient,existing,5
17,8.5,0.006155967712402344,102,2.8927892607143724,0.31039902257852836,reinforce,policygradient,existing,5
18,9.0,0.0068531036376953125,108,4.130929753571458,0.4029648549675634,reinforce,policygradient,existing,5
19,9.5,0.007074117660522461,114,2.1309297535714578,0.36566234631613753,reinforce,policygradient,existing,5
20,10.0,0.006904125213623047,120,4.9165082750002025,1.2803707789409569,reinforce,policygradient,existing,5
21,10.5,0.0060122013092041016,126,4.130929753571458,0.09322368866716427,reinforce,policygradient,existing,5
22,11.0,0.006342887878417969,132,2.5,0.36673773116965974,reinforce,policygradient,existing,5
23,11.5,0.006659030914306641,138,4.9165082750002025,0.2667658679947659,reinforce,policygradient,existing,5
24,12.0,0.006923198699951172,144,3.5,0.2677623423685473,reinforce,policygradient,existing,5
25,12.5,0.007141828536987305,150,2.1309297535714578,0.2725164815106135,reinforce,policygradient,existing,5
26,13.0,0.007205009460449219,156,7.5,0.11983392409603226,reinforce,policygradient,existing,5
27,13.5,0.006319999694824219,162,4.9165082750002025,0.300950689444171,reinforce,policygradient,existing,5
28,14.0,0.00678706169128418,168,3.6309297535714578,0.3204263882376842,reinforce,policygradient,existing,5
29,14.5,0.00726008415222168,174,3.6309297535714578,0.3623284611867213,reinforce,policygradient,existing,5
30,15.0,0.006855964660644531,180,4.130929753571458,0.17120497449676322,reinforce,policygradient,existing,5
31,15.5,0.006863117218017578,186,2.3927892607143724,0.2584720697195682,reinforce,policygradient,existing,5
32,16.0,0.0070340633392333984,192,4.5,0.23966208225651414,reinforce,policygradient,existing,5
33,16.5,0.006678104400634766,198,2.5,0.21889051535907025,reinforce,policygradient,existing,5
34,17.0,0.0065479278564453125,204,4.130929753571458,0.40022694805299347,reinforce,policygradient,existing,5
35,17.5,0.006697893142700195,210,2.5,0.05215604602017544,reinforce,policygradient,existing,5
36,18.0,0.00620579719543457,216,7.630929753571458,0.3813041250864052,reinforce,policygradient,existing,5
37,18.5,0.006797075271606445,222,2.1309297535714578,0.1294996451916006,reinforce,policygradient,existing,5
38,19.0,0.006510257720947266,228,4.130929753571458,0.4874121916988159,reinforce,policygradient,existing,5
39,19.5,0.0061550140380859375,234,4.130929753571458,0.19935197613405695,reinforce,policygradient,existing,5
40,20.0,0.005699872970581055,240,2.5,0.2217493311769364,reinforce,policygradient,existing,5
