step,epoch,step_time_sec,cumulative_reward_eval_count,reward,grad_norm,estimator,loss,reward_type,num_samples
1,0.5,0.05628395080566406,5,2.9098839834251984,0.13041613605713592,reinforce,policygradient,toy_set,5
2,1.0,0.006788969039916992,10,6.364574150436967,0.21528903340253722,reinforce,policygradient,toy_set,5
3,1.5,0.0074460506439208984,15,5.090760101151258,0.13336560744773257,reinforce,policygradient,toy_set,5
4,2.0,0.006780862808227539,20,2.440813736996655,0.1075275650796051,reinforce,policygradient,toy_set,5
5,2.5,0.006645917892456055,25,5.014479115437088,0.2691957601055406,reinforce,policygradient,toy_set,5
6,3.0,0.006987094879150391,30,2.7931856384252383,0.1106533227158201,reinforce,policygradient,toy_set,5
7,3.5,0.006514072418212891,35,2.6408137369966553,0.11437887460506638,reinforce,policygradient,toy_set,5
8,4.0,0.006914854049682617,40,6.307458446151218,0.38155124669627416,reinforce,policygradient,toy_set,5
9,4.5,0.00687718391418457,45,3.43606993413949,0.4668908421602296,reinforce,policygradient,toy_set,5
10,5.0,0.0062639713287353516,50,5.614479115437088,0.34795374363934656,reinforce,policygradient,toy_set,5
11,5.5,0.005955934524536133,55,5.690760101151258,0.1433074613723944,reinforce,policygradient,toy_set,5
12,6.0,0.00727391242980957,60,2.9098839834251984,0.13036052133547812,reinforce,policygradient,toy_set,5
13,6.5,0.006909370422363281,65,5.690760101151258,0.08794027339417358,reinforce,policygradient,toy_set,5
14,7.0,0.006865024566650391,70,2.5575120819966153,0.14533077986196305,reinforce,policygradient,toy_set,5
15,7.5,0.006737947463989258,75,6.233644396865509,0.3180336209602724,reinforce,policygradient,toy_set,5
16,8.0,0.006061077117919922,80,2.566999687710947,0.16204935078831093,reinforce,policygradient,toy_set,5
17,8.5,0.007271289825439453,85,3.0098839834251976,0.33203276534431764,reinforce,policygradient,toy_set,5
18,9.0,0.00688624382019043,90,5.238388199722675,0.1027512525208168,reinforce,policygradient,toy_set,5
19,9.5,0.006941795349121094,95,5.404991509722755,0.15929647973183034,reinforce,policygradient,toy_set,5
20,10.0,0.006520986557006836,100,2.9098839834251984,0.13033463049207897,reinforce,policygradient,toy_set,5
21,10.5,0.00608515739440918,105,4.500247706865591,0.2898997965040698,reinforce,policygradient,toy_set,5
22,11.0,0.006088972091674805,110,2.709883983425198,0.196057368325964,reinforce,policygradient,toy_set,5
23,11.5,0.007067203521728516,115,2.9669996877109472,0.2383316375886546,reinforce,policygradient,toy_set,5
24,12.0,0.006826162338256836,120,6.021689854722716,0.24915626200650862,reinforce,policygradient,toy_set,5
25,12.5,0.006559133529663086,125,2.43606993413949,0.25959578978667025,reinforce,policygradient,toy_set,5
26,13.0,0.006234169006347656,130,4.674061756151299,0.18804467412361714,reinforce,policygradient,toy_set,5
27,13.5,0.0069010257720947266,135,4.621689854722716,0.35391855657901694,reinforce,policygradient,toy_set,5
28,14.0,0.006594657897949219,140,2.3622558848537807,0.22596189820012325,reinforce,policygradient,toy_set,5
29,14.5,0.006863117218017578,145,5.800247706865591,0.1912901990606632,reinforce,policygradient,toy_set,5
30,15.0,0.006429195404052734,150,2.566999687710947,0.22743501683241954,reinforce,policygradient,toy_set,5
31,15.5,0.006344795227050781,155,6.4169460518655494,0.5213320169313231,reinforce,policygradient,toy_set,5
32,16.0,0.007056713104248047,160,2.8360699341394895,0.08950597172141207,reinforce,policygradient,toy_set,5
33,16.5,0.006396770477294922,165,2.5836980327109065,0.17658881635607865,reinforce,policygradient,toy_set,5
34,17.0,0.0066890716552734375,170,5.431177460437047,0.09598410700395396,reinforce,policygradient,toy_set,5
35,17.5,0.007116079330444336,175,5.190760101151258,0.2559942911355189,reinforce,policygradient,toy_set,5
36,18.0,0.006703853607177734,180,2.940813736996655,0.16272995156891734,reinforce,policygradient,toy_set,5
37,18.5,0.006276130676269531,185,5.947875805437006,0.24442009084574284,reinforce,policygradient,toy_set,5
38,19.0,0.0065059661865234375,190,2.762255884853781,0.14930771730669662,reinforce,policygradient,toy_set,5
39,19.5,0.0068340301513671875,195,5.847875805437006,0.2060278232367097,reinforce,policygradient,toy_set,5
40,20.0,0.006810665130615234,200,3.0360699341394897,0.3610400722904636,reinforce,policygradient,toy_set,5
